Feature,Lasso AUC,Lasso Recall,EN AUC,EN Recall,RFE AUC,RFE Recall,RCV AUC,RCV Recall,SUM
ILIMFOTHYR,0,0,0,0,0,0,1,1,2
ILLALCFLG,0,0,0,0,0,0,1,1,2
ILTOBALCFG,0,0,0,0,0,0,1,1,2
KETMINYR,0,0,0,0,0,0,1,1,2
MESCEVER,0,0,0,0,0,0,1,1,2
LSDMON,0,0,0,0,0,0,1,1,2
PSYANYYR,0,0,0,0,0,0,1,1,2
MHTSKTHPY,1,0,0,0,0,1,0,0,2
MILTSPPAR,0,0,0,0,0,0,1,1,2
MJCMOTHMON,0,0,0,0,0,0,1,1,2
MJDABYR,0,0,0,0,0,0,1,1,2
MJMTHMON,0,0,0,0,0,0,1,1,2
OXYCNNMYR,0,0,0,0,0,0,1,1,2
PEYOTEEVER,0,0,0,0,0,0,1,1,2
MTHNEDEVER,1,1,0,0,0,0,0,0,2
PREGAGE2,0,0,0,0,0,0,1,1,2
NMVSOPT2,0,0,1,1,0,0,0,0,2
MHNTCONSQ,1,1,0,0,0,0,0,0,2
MHNTWHER,1,1,0,0,0,0,0,0,2
MHTRTPY,0,0,0,0,1,1,0,0,2
KRATREC,0,0,0,0,0,0,1,1,2
KRATOMYR,0,0,0,0,0,0,1,1,2
WRKTSTDRG,0,0,0,0,0,0,1,1,2
WHODASSCED,0,0,1,1,0,0,0,0,2
WRK35WKUS,0,0,0,0,1,1,0,0,2
WRKDPSTYR,0,0,0,0,1,1,0,0,2
WRKDHRSWK2,0,0,0,0,1,1,0,0,2
WRKSELFEM,0,0,0,0,0,0,1,1,2
WRKOKPREH,0,0,0,0,0,0,1,1,2
WRKNUMJOB2,0,0,0,0,0,0,1,1,2
WRKEFFORT,1,1,0,0,0,0,0,0,2
WRKTSTALC,0,0,0,0,0,0,1,1,2
WRKSICKMO,0,0,0,0,0,0,1,1,2
ADSEEDOC,0,0,1,1,0,0,0,0,2
ADTMTNOW,0,0,1,1,0,0,0,0,2
ADPSWORK,1,1,0,0,0,0,0,0,2
ADPBNUM,0,0,1,1,0,0,0,0,2
ADOCMDE,0,0,1,1,0,0,0,0,2
ADFAMDOC,0,0,1,1,0,0,0,0,2
KSSLR6YR,0,1,0,0,0,0,0,0,1
MHNTENFCV,0,0,0,0,1,0,0,0,1
MHTNSEEKPY,0,0,0,0,0,1,0,0,1
RSKMRJMON,0,0,0,0,1,0,0,0,1
RXCLONMIS,0,0,0,1,0,0,0,0,1
IRSUTINRHAB,0,0,0,0,1,0,0,0,1
IRSUTPEERSPC,0,1,0,0,0,0,0,0,1
